timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1726032812576,95,HTTP POST Request,429,Too Many Requests,Load Simulation 1-66,text,false,,6990,564,1,1,https://lapor.folkatech.com/api/report,88,0,50
1726032812673,88,HTTP POST Request,429,Too Many Requests,Load Simulation 1-67,text,false,,6990,564,1,1,https://lapor.folkatech.com/api/report,87,0,55
1726032812774,89,HTTP POST Request,429,Too Many Requests,Load Simulation 1-68,text,false,,6990,564,1,1,https://lapor.folkatech.com/api/report,88,0,54
1726032812875,83,HTTP POST Request,429,Too Many Requests,Load Simulation 1-69,text,false,,6990,564,1,1,https://lapor.folkatech.com/api/report,83,0,49
1726032812973,89,HTTP POST Request,429,Too Many Requests,Load Simulation 1-70,text,false,,6990,564,1,1,https://lapor.folkatech.com/api/report,89,0,55
1726032813071,89,HTTP POST Request,429,Too Many Requests,Load Simulation 1-71,text,false,,6990,564,1,1,https://lapor.folkatech.com/api/report,89,0,53
1726032813174,88,HTTP POST Request,429,Too Many Requests,Load Simulation 1-72,text,false,,6990,564,1,1,https://lapor.folkatech.com/api/report,87,0,51
1726032813274,90,HTTP POST Request,429,Too Many Requests,Load Simulation 1-73,text,false,,6990,564,1,1,https://lapor.folkatech.com/api/report,90,0,50
1726032813370,85,HTTP POST Request,429,Too Many Requests,Load Simulation 1-74,text,false,,6990,564,1,1,https://lapor.folkatech.com/api/report,84,0,50
1726032813478,89,HTTP POST Request,429,Too Many Requests,Load Simulation 1-75,text,false,,6990,564,1,1,https://lapor.folkatech.com/api/report,89,0,53
1726032813573,85,HTTP POST Request,429,Too Many Requests,Load Simulation 1-76,text,false,,6990,564,1,1,https://lapor.folkatech.com/api/report,85,0,51
1726032813671,93,HTTP POST Request,429,Too Many Requests,Load Simulation 1-77,text,false,,6990,564,1,1,https://lapor.folkatech.com/api/report,92,0,59
1726032813770,80,HTTP POST Request,429,Too Many Requests,Load Simulation 1-78,text,false,,6990,564,1,1,https://lapor.folkatech.com/api/report,79,0,47
1726032813874,87,HTTP POST Request,429,Too Many Requests,Load Simulation 1-79,text,false,,6990,564,1,1,https://lapor.folkatech.com/api/report,87,0,48
1726032813974,96,HTTP POST Request,429,Too Many Requests,Load Simulation 1-80,text,false,,6990,564,2,2,https://lapor.folkatech.com/api/report,95,0,60
1726032814071,90,HTTP POST Request,429,Too Many Requests,Load Simulation 1-81,text,false,,6990,564,1,1,https://lapor.folkatech.com/api/report,87,0,51
1726032814173,92,HTTP POST Request,429,Too Many Requests,Load Simulation 1-82,text,false,,6990,564,1,1,https://lapor.folkatech.com/api/report,92,0,56
1726032814272,89,HTTP POST Request,429,Too Many Requests,Load Simulation 1-83,text,false,,6990,564,1,1,https://lapor.folkatech.com/api/report,88,0,53
1726032814374,82,HTTP POST Request,429,Too Many Requests,Load Simulation 1-84,text,false,,6990,564,1,1,https://lapor.folkatech.com/api/report,82,0,49
1726032814476,88,HTTP POST Request,429,Too Many Requests,Load Simulation 1-85,text,false,,6990,564,1,1,https://lapor.folkatech.com/api/report,87,0,53
1726032814573,98,HTTP POST Request,429,Too Many Requests,Load Simulation 1-86,text,false,,6990,564,2,2,https://lapor.folkatech.com/api/report,97,0,62
1726032814672,97,HTTP POST Request,429,Too Many Requests,Load Simulation 1-87,text,false,,6990,564,1,1,https://lapor.folkatech.com/api/report,97,0,60
1726032814772,90,HTTP POST Request,429,Too Many Requests,Load Simulation 1-88,text,false,,6990,564,1,1,https://lapor.folkatech.com/api/report,90,0,53
1726032814875,86,HTTP POST Request,429,Too Many Requests,Load Simulation 1-89,text,false,,6990,564,1,1,https://lapor.folkatech.com/api/report,86,0,54
1726032814973,87,HTTP POST Request,429,Too Many Requests,Load Simulation 1-90,text,false,,6990,564,1,1,https://lapor.folkatech.com/api/report,87,0,55
1726032815073,89,HTTP POST Request,429,Too Many Requests,Load Simulation 1-91,text,false,,6990,564,1,1,https://lapor.folkatech.com/api/report,88,0,56
1726032815173,88,HTTP POST Request,429,Too Many Requests,Load Simulation 1-92,text,false,,6990,564,1,1,https://lapor.folkatech.com/api/report,88,0,54
1726032815272,83,HTTP POST Request,429,Too Many Requests,Load Simulation 1-93,text,false,,6990,564,1,1,https://lapor.folkatech.com/api/report,82,0,49
1726032815375,88,HTTP POST Request,429,Too Many Requests,Load Simulation 1-94,text,false,,6990,564,1,1,https://lapor.folkatech.com/api/report,88,0,56
1726032815470,85,HTTP POST Request,429,Too Many Requests,Load Simulation 1-95,text,false,,6990,564,1,1,https://lapor.folkatech.com/api/report,85,0,47
1726032815574,78,HTTP POST Request,429,Too Many Requests,Load Simulation 1-96,text,false,,6990,564,1,1,https://lapor.folkatech.com/api/report,77,0,44
1726032815669,86,HTTP POST Request,429,Too Many Requests,Load Simulation 1-97,text,false,,6990,564,1,1,https://lapor.folkatech.com/api/report,85,0,51
1726032815773,85,HTTP POST Request,429,Too Many Requests,Load Simulation 1-98,text,false,,6996,564,1,1,https://lapor.folkatech.com/api/report,84,0,50
1726032815873,85,HTTP POST Request,429,Too Many Requests,Load Simulation 1-99,text,false,,6990,564,1,1,https://lapor.folkatech.com/api/report,85,0,50
1726032815973,82,HTTP POST Request,429,Too Many Requests,Load Simulation 1-100,text,false,,6990,564,1,1,https://lapor.folkatech.com/api/report,82,0,48
